objectid,filename,title,creator,date,type,location,latitude,longitude,format
omac_1,omac_1.jpg,La Libelula Colombiana,Feliza Bursztyn,1981,Escultura - Ensamblaje,Bogotá - Centro Cultural de Bogotá - Museo de Arte Miguel Urrutia - Exposición Permanente de la Colección de Arte,4.5962588,-74.07311593,image/jpeg
omac_2,omac_2.jpg,De La Serie Parejas,MariPaz Jaramillo,1985,Pastel y oleo sobre tela y madera,Cali - Museo La Tertulia,3.45028021,-76.54530724,image/jpeg
omac_3,omac_3.jpg,Cabeza Negra,Hena Rodriguez,1945,Talla en madera,Bogotá - Museo Nacional de Colombia,4.61560505,-74.06860033,image/jpeg
omac_4,omac_4.jpg,La Salida De Laureano,Debora Arango,1953,Óleo sobre lienzo,Medellín - Museo de Arte Moderno de Medellín,4.59669376,-74.07256346,image/jpeg
omac_5,omac_5.jpg,Vitrina,Maria Teresa Hincapie,1989,Performance,Medellín - Museo de Arte Moderno de Medellín,6.22378007,-75.57384146,image/jpeg
omac_6,omac_6.jpg,La Ceiba Dorada,Lucy Tejada,1958,Óleo sobre lienzo,Pererira - Museo Lucy Tejada,4.81261356,-75.69245038,image/jpeg
omac_7,omac_7.jpg,Fragmentos,Doris Salcedo,2018,Instalación,Bogotá - Museo Nacional de Colombia,4.61560505,-74.06860033,image/jpeg
omac_8,omac_8.jpg,Botella azul,Carolina Cárdenas,1933,Escultura,Bogotá - Colección de Arte Banco de la República,5.067073751,-755168430927839,image/jpeg
omac_9,omac_9.jpeg,Hombre caminando,Feliza Bursztyn,1977,Escultura,Bogotá - Colección de Arte Banco de la República,5.067073751,-755168430927839,image/jpeg
omac_10,omac_10.jpg,"Asesinada mujer en hospedaje, no ha sido posible identificarla",Beatriz Gonzalez,1969,Grabado - Heliografía sobre papel,Bogotá - Colección de Arte Banco de la República,5.067073751,-755168430927839,image/jpeg
omac_11,omac_11.jpeg,Los derechos de la mujer,Debora Arango,1954,Óleo sobre lienzo,Medellín - Museo de Arte Moderno de Medellín,4.59669376,-74.07256346,image/jpeg
omac_12,omac_12.jpeg,Camafeo,Beatriz Gonzalez,1971,Pintura sobre mueble de metal,Bogotá - Universidad Nacional de Colombia - Colección Arte Contemporáneo,4.635266111404602,-74.08062919683782,image/jpeg
omac_13,omac_13.jpeg,La Torre Blanca,Cecilia Porras,1960,Óleo sobre tela,Bogotá - Colección de Arte Banco de la República,5.067073751,-755168430927839,image/jpeg